Temporal_Rep,State,Plant_ID,Cluster_ID,Treatment,Movement,Fertilization,Host_Variation,Host_Species,ILN,LLL,FPLD_1,FPLD_2,FPLD_3,FPLD_4,FPLD_5,FPLD_6,FPLD_7,Total_FPLD,Mean_PLD,FSN,FSL,ISMM,ISM,FSMM,FSM,RGR,Notes
1,OR,M1,NA,MN_FN_HN,N,N,N,K,4,6,0,0,0.0,0.0,NA,NA,NA,0,0,1,T,NA,0.14975,NA,0.09984,-0.4053983324,Some of its guts came out while trying to get it off the tape.
1,OR,M2,NA,MN_FN_HN,N,N,N,K,3,5.95,0,0,0.0,NA,NA,NA,NA,0,0,1,B,NA,0.08664,NA,0.07826,-0.1017249859,NA
1,OR,M3,NA,MN_FN_HN,N,N,N,K,4,5.75,0,0,0.0,0.0,NA,NA,NA,0,0,1,S,NA,0.09194,NA,0.08524,-0.07566538315,NA
1,OR,M4,NA,MN_FN_HN,N,N,N,K,4,5.58,0,0,0.0,0.0,NA,NA,NA,0,0,1,S,NA,0.10077,NA,0.0854,-0.1654945915,NA
1,OR,M5,NA,MN_FN_HN,N,N,N,K,4,7.5,0,0,0.0,0.0,NA,NA,NA,0,0,1,B,NA,0.14683,NA,0.12911,-0.1286107008,NA
1,OR,M6,NA,MN_FN_HN,N,N,N,K,4,6,0,0,0.0,0.0,NA,NA,NA,0,0,1,B,NA,0.1273,NA,0.09239,-0.3205277579,NA
1,OR,M7,NA,MN_FN_HN,N,N,N,K,3,5.5,0,0,0.0,NA,NA,NA,NA,0,0,1,B,NA,0.1056,NA,0.0919,-0.1389573419,NA
1,OR,M8,NA,MN_FN_HN,N,N,N,K,4,6.3,0,0,0.0,0.0,NA,NA,NA,0,0,1,S,NA,0.10279,NA,0.09715,-0.0564318962,NA
1,OR,M9,NA,MN_FN_HN,N,N,N,K,4,6.4,0,0,0.0,0.0,NA,NA,NA,0,0,1,B,NA,0.12734,NA,0.11372,-0.1131213878,NA
1,OR,M10,NA,MN_FN_HN,N,N,N,K,4,5.8,0,0,0.0,0.0,NA,NA,NA,0,0,1,S,NA,0.06699,NA,0.06246,-0.07001700267,NA
1,OR,M11,NA,MN_FN_HN,N,N,N,K,3,5.85,0,0,0.0,NA,NA,NA,NA,0,0,1,B,NA,0.1047,NA,0.08959,-0.1558554113,NA
1,OR,M12,NA,MN_FN_HN,N,N,N,K,4,6.2,0,0,0.0,0.0,NA,NA,NA,0,0,1,B,NA,0.10611,NA,0.09288,-0.1331679545,NA
1,OR,M13,NA,MN_FN_HN,N,N,N,K,4,6.9,0,0,0.0,0.0,NA,NA,NA,0,0,1,T,NA,0.1152,NA,0.08131,-0.348400738,Some of its guts came out while trying to get it off the tape.
1,OR,M14,NA,MN_FN_HN,N,N,N,K,4,6.4,0,0,0.0,0.0,NA,NA,NA,0,0,1,B,NA,0.09183,NA,0.07748,-0.1699192031,NA
1,OR,M15,NA,MN_FN_HN,N,N,N,K,3,5.4,0,0,0.0,NA,NA,NA,NA,0,0,1,B,NA,0.11645,NA,0.09808,-0.1716785241,NA
1,OR,M16,NA,MN_FN_HN,N,N,N,K,4,6.3,0,0,0.0,0.0,NA,NA,NA,0,0,1,T,NA,0.10729,NA,0.06121,-0.5612248738,Some of its guts came out while trying to get it off the tape.
1,OR,M17,NA,MN_FN_HN,N,N,N,K,4,6.8,0,0,0.0,0.0,NA,NA,NA,0,0,1,B,NA,0.06141,NA,0.03977,-0.4344598291,NA
1,OR,M18,NA,MN_FN_HN,N,N,N,K,5,8.1,0,0,0.0,0.0,0.0,NA,NA,0,0,1,S,NA,0.01351,NA,0.00304,-1.491572637,NA
1,OR,M19,M19_M24,MY_FY_HN,Y,Y,N,K,5,8.6,0,0,0.0,0.0,0.0,NA,NA,0,0,0,NA,0.58203,0.097005,0.22349,0.07449666667,-0.2640081419,"2 spods found on tape, didn't weigh"
1,OR,M20,M19_M24,MY_FY_HN,Y,Y,N,K,5,9.2,0,0,0.0,0.0,0.0,NA,NA,0,0,1,S,0.58203,0.097005,0.22349,0.07449666667,-0.2640081419,Partially buried
1,OR,M21,M19_M24,MY_FY_HN,Y,Y,N,K,5,10,0,0,0.0,0.0,0.0,NA,NA,0,0,1,S,0.58203,0.097005,0.22349,0.07449666667,-0.2640081419,NA
1,OR,M22,M19_M24,MY_FY_HN,Y,Y,N,K,6,10.7,0,0,0.0,0.0,0.0,0.0,NA,0,0,1,S,0.58203,0.097005,0.22349,0.07449666667,-0.2640081419,NA
1,OR,M23,M19_M24,MY_FY_HN,Y,Y,N,K,5,9.7,0,0,0.0,0.0,0.0,NA,NA,0,0,0,NA,0.58203,0.097005,0.22349,0.07449666667,-0.2640081419,NA
1,OR,M24,M19_M24,MY_FY_HN,Y,Y,N,K,5,9.2,0,0,0.0,0.0,0.0,NA,NA,0,0,0,NA,0.58203,0.097005,0.22349,0.07449666667,-0.2640081419,NA
1,OR,M25,M25_M30,MY_FY_HN,Y,Y,N,K,4,10.4,0,0,0.0,0.0,NA,NA,NA,0,0,0,NA,0.63826,0.1063766667,0.36235,0.1207833333,0.1270120523,1 spod found between the pots on the table
