4.0,Plant_ID,Cluster_ID,Treatment,Movement,Fertilization,Host_Variation,Host_Species,ILN,LLL,FPLD_1,FPLD_2,FPLD_3,FPLD_4,FPLD_5,FPLD_6,FPLD_7,FPLD_8,FPLD_9,Total_FPLD,Mean_PLD,FSN,ISMM,ISM,FSMM,FSM,RGR,Notes
1,A1,A1_A6,MY_FY_HN,Y,Y,N,K,5,11.7,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,0,2,0.62271,0.103785,0.13863,0.069315,-0.4036601186,NA
1,A2,A1_A6,MY_FY_HN,Y,Y,N,K,6,11.8,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0,0,2,0.62271,0.103785,0.13863,0.069315,-0.4036601186,NA
1,A3,A1_A6,MY_FY_HN,Y,Y,N,K,5,10.2,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,0,2,0.62271,0.103785,0.13863,0.069315,-0.4036601186,NA
1,A4,A1_A6,MY_FY_HN,Y,Y,N,K,6,11.4,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0,0,2,0.62271,0.103785,0.13863,0.069315,-0.4036601186,NA
1,A5,A1_A6,MY_FY_HN,Y,Y,N,K,6,10.7,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0,0,2,0.62271,0.103785,0.13863,0.069315,-0.4036601186,NA
1,A6,A1_A6,MY_FY_HN,Y,Y,N,K,6,10.8,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0,0,2,0.62271,0.103785,0.13863,0.069315,-0.4036601186,NA
1,A7,A7_A12,MY_FY_HN,Y,Y,N,K,6,11.4,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0,0,3,0.55178,0.09196333333,0.31979,0.1065966667,0.1476622948,NA
1,A8,A7_A12,MY_FY_HN,Y,Y,N,K,6,11.1,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0,0,3,0.55178,0.09196333333,0.31979,0.1065966667,0.1476622948,NA
1,A9,A7_A12,MY_FY_HN,Y,Y,N,K,6,10.4,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0,0,3,0.55178,0.09196333333,0.31979,0.1065966667,0.1476622948,NA
1,A10,A7_A12,MY_FY_HN,Y,Y,N,K,5,10.3,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,0,3,0.55178,0.09196333333,0.31979,0.1065966667,0.1476622948,NA
1,A11,A7_A12,MY_FY_HN,Y,Y,N,K,6,10.4,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0,0,3,0.55178,0.09196333333,0.31979,0.1065966667,0.1476622948,NA
1,A12,A7_A12,MY_FY_HN,Y,Y,N,K,5,11.3,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,0,3,0.55178,0.09196333333,0.31979,0.1065966667,0.1476622948,NA
