Temporal_Rep,Plant_ID,Cluster_ID,Treatment,Movement,Fertilization,Host_Variation,Host_Species,ILN,LLL,FLA_1,FLA_2,FLA_3,FLA_4,FLA_5,FLA_6,FLA_7,FLA_8,FLA_9,Total_FLA,Mean_FLA,FPLD_1,FPLD_2,FPLD_3,FPLD_4,FPLD_5,FPLD_6,FPLD_7,FPLD_8,FPLD_9,Total_FPLD,Mean_PLD,Notes
2,M37,M37,MN_FY_HN,N,Y,N,K,5,10.8,NA,32.882,40.964,26.358,23.903,NA,NA,NA,NA,124.107,24.8214,0,0,0,0.0,0.0,NA,NA,NA,NA,0,0,Mini leaf = 8.17
2,M38,M38,MN_FY_HN,N,Y,N,K,4,7.8,24.049,19.396,28.921,33.738,NA,NA,NA,NA,NA,106.104,26.526,0,0,0,0.0,NA,NA,NA,NA,NA,0,0,Mini Leaf = 9.107
2,M39,M39,MN_FY_HN,N,Y,N,K,5,9.1,19.638,25.754,31.737,31.121,30.117,NA,NA,NA,NA,138.367,27.6734,2,3,7,0.0,0.0,NA,NA,NA,NA,12,2.4,Mini leaf = 4.948
2,M50,M50,MN_FY_HN,N,Y,N,K,5,10.0,15.82,23.618,33.119,34.466,18.459,NA,NA,NA,NA,125.482,25.0964,0,0,0,0.0,0.0,NA,NA,NA,NA,0,0,NA
2,M52,M52,MN_FY_HN,N,Y,N,K,6,11.7,28.928,46.049,49.425,39.395,21.2,24.344,NA,NA,NA,209.341,34.89016667,0,0,0,0.0,0.0,0.0,NA,NA,NA,0,0,Mini Leaf = 3.065
2,M58,M55_M60,MY_FN_HN,Y,N,N,K,4,6.6,14.834,14.391,13.302,NA,NA,NA,NA,NA,NA,42.527,10.63175,2,0,0,1.0,NA,NA,NA,NA,NA,3,0.75,NA
2,M63,M61_M66,MY_FN_HN,Y,N,N,K,3,6.0,10.257,12.558D,11.543,NA,NA,NA,NA,NA,NA,21.8,7.266666667,1,0,0,NA,NA,NA,NA,NA,NA,1,0.3333333333,Mini Leaf = 5.101
2,M64,M61_M66,MY_FN_HN,Y,N,N,K,4,5.5,8.291,12.033,11.094,NA,NA,NA,NA,NA,NA,31.418,7.8545,0,0,0,0.0,NA,NA,NA,NA,NA,0,0,NA
2,M65,M61_M66,MY_FN_HN,Y,N,N,K,4,6.4,12.206,12.805,NA,NA,NA,NA,NA,NA,NA,25.011,6.25275,0,0,0,0.0,NA,NA,NA,NA,NA,0,0,NA
2,M68,M67_M72,MY_FN_HN,Y,N,N,K,4,5.5,12.662,12.311,6.911,10.651,NA,NA,NA,NA,NA,42.535,10.63375,1,0,0,0.0,NA,NA,NA,NA,NA,1,0.25,NA
3,M84,M84,MN_FN_HN,N,N,N,K,3,4.0,5.534,5.784,5.361,NA,NA,NA,NA,NA,NA,16.679,5.559666667,2,2,5,NA,NA,NA,NA,NA,NA,9,3,NA
3,M91,M91_M96,MY_FY_HN,Y,Y,N,K,5,8.9,24.763,25.835,13.21,21.035,19.203,NA,NA,NA,NA,104.046,20.8092,1,3,7,1.0,1.0,NA,NA,NA,NA,13,2.6,NA
3,M92,M91_M96,MY_FY_HN,Y,Y,N,K,5,9.1,24.167,25.19,25.713,18.76,24.534,NA,NA,NA,NA,118.364,23.6728,2,1,3,5.0,1.0,NA,NA,NA,NA,12,2.4,Mini leaf = 7.145
3,M96,M91_M96,MY_FY_HN,Y,Y,N,K,5,9.3,18.689,15.002,10.27,23.545,20.352,NA,NA,NA,NA,87.858,17.5716,7,1,6,7.0,0.0,NA,NA,NA,NA,21,4.2,NA
3,M97,M97_M102,MY_FY_HN,Y,Y,N,K,4,8.4,18.871,23.147,22.639,16.308,12.632,NA,NA,NA,NA,93.597,23.39925,1,4,5,1.0,0.0,NA,NA,NA,NA,11,2.75,NA
3,M101,M97_M102,MY_FY_HN,Y,Y,N,K,5,9.3,25.054,25.982,28.48,14.861,19.461,NA,NA,NA,NA,113.838,22.7676,2,1,5,9.0,1.0,NA,NA,NA,NA,18,3.6,NA
3,M103,M103_M108,MY_FY_HN,Y,Y,N,K,5,7.6,19.51,22.336,15.459,23.999,16.911,NA,NA,NA,NA,98.215,19.643,0,3,3,1.0,0.0,NA,NA,NA,NA,7,1.4,NA
3,M105,M103_M108,MY_FY_HN,Y,Y,N,K,6,9.9,19.7,29.411,30.281,22.069,33.327,16.11,NA,NA,NA,150.898,25.14966667,2,0,2,0.0,0.0,0.0,NA,NA,NA,4,0.6666666667,NA
4,M114,M109_M114,MY_FN_HN,Y,N,N,K,3,3.3,4.307,4.312,2.923,NA,NA,NA,NA,NA,NA,11.542,3.847333333,0,6,0,NA,NA,NA,NA,NA,NA,6,2,NA
4,M122,M121_M126,MY_FN_HN,Y,N,N,K,3,3.1,4.682,5.212,3.919,NA,NA,NA,NA,NA,NA,13.813,4.604333333,0,2,18,NA,NA,NA,NA,NA,NA,20,6.666666667,NA
4,M125,M121_M126,MY_FN_HN,Y,N,N,K,3,3.8,5.878,5.982,2.327,NA,NA,NA,NA,NA,NA,14.187,4.729,0,5,18,NA,NA,NA,NA,NA,NA,23,7.666666667,NA
4,M133,N/A,MN_FY_HN,N,Y,N,K,5,9.9,33.06,31.239,23.061,29.456,13.57,NA,NA,NA,NA,130.386,26.0772,1,1,0,1.0,0.0,NA,NA,NA,NA,3,0.6,NA
4,M136,N/A,MN_FY_HN,N,Y,N,K,5,8.3,27.306,20.783,26.677,23.393,9.168,NA,NA,NA,NA,107.327,21.4654,0,0,6,0.0,0.0,NA,NA,NA,NA,6,1.2,NA
4,M137,N/A,MN_FY_HN,N,Y,N,K,5,9.2,22.425,30.469,32.56,23.841,24.596,NA,NA,NA,NA,133.891,26.7782,2,3,3,5.0,2.0,NA,NA,NA,NA,15,3,NA
4,M138,N/A,MN_FY_HN,N,Y,N,K,5,9.9,22.425,28.521,28.426,32.828,26.556,NA,NA,NA,NA,138.756,27.7512,2,6,6,1.0,1.0,NA,NA,NA,NA,16,3.2,NA
4,M142,N/A,MN_FY_HN,N,Y,N,K,5,9.9,14.959,27.957,33.723,28.14,15.173,NA,NA,NA,NA,119.952,23.9904,1,1,4,5.0,0.0,NA,NA,NA,NA,11,2.2,NA
2,N37,N37_N42,MY_FY_HN,Y,Y,N,K,4,8.8,31.15,26.363,17.431,8.824,NA,NA,NA,NA,NA,83.768,20.942,0,0,0,0.0,NA,NA,NA,NA,NA,0,0,NA
2,N38,N37_N42,MY_FY_HN,Y,Y,N,K,4,9.0,27.069,29.067,32.343,9.085,6.121,NA,NA,NA,NA,103.685,25.92125,0,0,0,0.0,NA,NA,NA,NA,NA,0,0,NA
