Exclude,Plant_ID,NoS,ILN,FPLD_1,FPLD_2,FPLD_3,FPLD_4,FPLD_5,FPLD_6,FPLD_7,Total_FPLD,Mean_PLD,Notes
Y,NE_1,1,6,0,10,10,22,8.0,0.0,NA,50,8.333333333,Severly wilted and lackin spod
N,NE_2,1,6,1,17,3,6,7.0,0.0,NA,34,5.666666667,NA
Y,NE_3,1,7,3,6,15,12,6.0,1.0,0.0,43,6.142857143,Had 2 caterpillars
N,NE_4,1,7,15,5,0,2,10.0,8.0,0.0,40,5.714285714,NA
N,NE_5,1,6,7,25,3,0,9.0,0.0,NA,44,7.333333333,NA
N,NE_6,1,7,25,5,1,5,0.0,1.0,0.0,37,5.285714286,NA
N,NE_7,1,6,12,2,3,6,2.0,0.0,NA,25,4.166666667,NA
N,NE_8,1,6,7,3,1,5,0.0,1.0,NA,17,2.833333333,NA
N,NE_9,1,7,28,4,3,8,0.0,1.0,0.0,44,6.285714286,NA
N,NE_10,1,7,10,2,11,7,5.0,0.0,0.0,35,5,NA
N,NE_11,1,5,1,15,0,0,0.0,NA,NA,16,3.2,NA
N,NE_12,1,7,0,1,0,10,1.0,2.0,1.0,15,2.142857143,NA
N,NE_13,1,6,0,15,12,10,3.0,0.0,NA,40,6.666666667,NA
N,NE_14,1,6,40,4,0,7,0.0,0.0,NA,51,8.5,NA
N,NE_15,1,6,17,6,5,0,2.0,0.0,NA,30,5,NA
N,NE_16,1,6,1,18,5,0,1.0,0.0,NA,25,4.166666667,Lack spod
N,NE_17,1,7,0,2,20,1,1.0,2.0,0.0,26,3.714285714,NA
N,NE_18,1,7,0,17,8,0,7.0,1.0,0.0,33,4.714285714,NA
N,NE_19,1,5,0,0,16,2,0.0,NA,NA,18,3.6,NA
N,NE_20,1,6,3,0,30,0,2.0,5.0,NA,40,6.666666667,NA
N,NE_21,5,4,60,50,20,15,NA,NA,NA,145,36.25,NA
N,NE_22,5,5,100,100,10,30,7.0,NA,NA,247,49.4,NA
N,NE_23,5,6,10,47,25,15,23.0,0.0,NA,120,20,NA
N,NE_24,5,6,80,100,100,62,45.0,0.0,NA,387,64.5,NA
N,NE_25,5,4,40,24,70,70,NA,NA,NA,204,51,NA
N,NE_26,5,6,90,15,75,19,10.0,5.0,NA,214,35.66666667,NA
N,NE_27,5,5,50,20,0,35,1.0,NA,NA,106,21.2,NA
N,NE_28,5,6,30,12,10,11,6.0,5.0,NA,74,12.33333333,NA
N,NE_29,5,6,20,0,30,20,18.0,8.0,NA,96,16,NA
N,NE_30,5,4,0,15,80,45,NA,NA,NA,140,35,50% damage to cotyledons
N,NE_31,5,6,77,20,7,5,3.0,10.0,NA,122,20.33333333,NA
N,NE_32,5,5,70,5,20,25,15.0,NA,NA,135,27,NA
Y,NE_33,5,6,0,0,0,0,0.0,0.0,NA,0,0,No spod or damage
N,NE_34,5,6,85,25,1,30,25.0,3.0,NA,169,28.16666667,NA
Y,NE_35,5,4,0,0,0,0,NA,NA,NA,0,0,No Spod or damage
N,NE_36,5,6,85,25,50,15,22.0,7.0,NA,204,34,NA
N,NE_37,5,6,15,25,60,13,25.0,2.0,NA,140,23.33333333,NA
N,NE_38,5,6,85,20,25,35,5.0,8.0,NA,178,29.66666667,NA
N,NE_39,5,6,17,30,40,50,20.0,8.0,NA,165,27.5,NA
N,NE_40,5,6,45,40,45,17,10.0,2.0,NA,159,26.5,NA
